id,first_name,last_name,username,password,role,age,location_id,email,birth_date
1,Павел,Никифоров,pnikifirov,gZvptL,member,21,1,gvlg@mail.ru,2001-05-06
2,Альбина,Игнатьева,abiba_1341,4fVqL2,moderator,24,3,gfdgdfg@mail.ru,1998-10-18
3,Иван,Сысоев,vanya777,o535pj,admin,29,8,hgfjghjdfgg@mail.ru,1993-05-28
4,Марина,Беркутова,orlanfree,d49rSO,moderator,19,10,jhvbvc@mail.ru,2003-09-12
5,Галина,Иванова,galina_ivanova,wCqlVE,member,41,2,5454564@mail.ru,1981-10-12
6,Петр,Бойченко,petr_bo,xuR2jf,member,37,4,645gfdw@mail.ru,1985-12-12
7,Никита,,nikitapro,gzP4vR,member,26,7,hkjhmfgbaert@mail.ru,1996-08-09
8,Виолетта,Петушок,riverna,zo0rj6,member,24,5,vfgdcgbvfh@mail.ru,1998-08-06
9,Гульнара,Ибрагимова,gulnara321,daMocL,moderator,22,9,hgfhfggsfrn@mail.ru,2000-09-06
10,Борис,Зайка,dragon84,sasha123456,member,35,6,4fg5f4dgfdvg@mail.ru,1987-10-10
